DATE,TG,RR,WS,HU,PP
2015-01-01,20.9,0.0,16.8,67,1017.2
2015-01-02,20.3,0.0,17.6,68,1018.5
2015-01-03,19.4,0.0,15.1,81,1017.9
2015-01-04,19.1,0.0,13.0,76,1016.9
2015-01-05,20.3,0.0,12.3,66,1017.3
2015-01-06,20.4,0.0,14.8,67,1018.4
2015-01-07,19.4,0.0,15.9,77,1017.3
2015-01-08,19.7,0.0,14.8,69,1016.6
2015-01-09,19.8,0.0,16.3,71,1016.8
2015-01-10,19.2,0.0,12.1,71,1016.6
2015-01-11,21.0,0.0,21.4,68,1019.3
2015-01-12,19.8,0.0,29.1,59,1021.4
2015-01-13,19.6,0.0,14.8,61,1021.2
2015-01-14,19.4,0.0,18.4,58,1020.0
2015-01-15,19.2,0.0,14.8,54,1018.9
2015-01-16,18.7,0.0,12.1,55,1018.7
2015-01-17,20.0,0.0,14.8,65,1017.8
2015-01-18,20.5,0.5,13.2,67,1015.6
2015-01-19,16.8,10.5,28.8,76,1014.7
2015-01-20,16.2,0.8,27.3,65,1016.9
2015-01-21,15.5,0.0,14.7,72,1021.2
2015-01-22,15.5,0.0,11.8,69,1022.0
2015-01-23,15.9,0.0,12.2,71,1019.9
2015-01-24,17.0,0.0,14.5,73,1020.2
2015-01-25,18.5,0.0,20.6,67,1021.8
2015-01-26,17.8,0.0,16.6,65,1021.6
2015-01-27,18.6,0.0,15.3,67,1019.7
2015-01-28,18.2,0.0,12.4,72,1017.5
2015-01-29,19.9,0.0,13.9,56,1017.5
2015-01-30,21.1,0.0,14.2,53,1018.4
2015-01-31,21.6,0.0,20.5,55,1017.2
2015-02-01,22.1,0.0,22.7,58,1014.8
2015-02-02,20.5,0.0,18.2,71,1015.3
2015-02-03,20.1,0.0,14.7,73,1018.0
2015-02-04,22.0,0.0,17.6,70,1018.5
2015-02-05,21.6,0.0,21.4,68,1016.8
2015-02-06,20.0,0.0,20.3,72,1016.6
2015-02-07,20.6,0.0,12.0,69,1016.3
2015-02-08,20.8,0.0,16.5,67,1014.9
2015-02-09,24.0,0.0,27.7,56,1015.4
2015-02-10,23.8,0.0,19.6,64,1017.1
2015-02-11,23.7,0.0,17.8,61,1016.7
2015-02-12,24.1,0.0,22.4,50,1015.6
2015-02-13,24.2,0.0,18.8,51,1014.5
2015-02-14,23.8,0.0,20.4,54,1012.6
2015-02-15,23.5,0.0,20.5,55,1012.8
2015-02-16,23.0,0.0,14.1,64,1014.6
2015-02-17,23.4,0.0,18.1,50,1014.3
2015-02-18,24.4,0.0,19.5,45,1011.6
2015-02-19,26.4,0.0,27.1,29,1007.8
2015-02-20,30.0,0.0,47.5,18,1004.8
2015-02-21,24.8,0.0,54.7,41,1007.8
2015-02-22,19.4,0.0,34.3,43,1014.8
2015-02-23,18.1,0.0,33.5,48,1017.4
2015-02-24,19.1,0.0,17.3,47,1016.7
2015-02-25,19.4,0.0,21.1,53,1015.2
2015-02-26,20.1,0.0,21.6,58,1013.6
2015-02-27,19.4,0.0,37.2,57,1012.7
2015-02-28,18.2,0.0,23.1,46,1015.2
2015-03-01,19.1,0.0,19.2,50,1013.1
2015-03-02,20.4,0.0,17.1,46,1012.9
2015-03-03,20.8,0.0,22.5,56,1013.2
2015-03-04,22.7,0.0,22.2,57,1011.9
2015-03-05,22.1,0.0,26.4,52,1013.5
2015-03-06,21.4,0.0,33.0,62,1016.7
2015-03-07,22.2,0.0,16.2,49,1017.1
2015-03-08,23.3,0.0,18.9,34,1017.6
2015-03-09,22.8,0.0,21.4,48,1017.1
2015-03-10,25.8,0.0,30.2,42,1014.4
2015-03-11,22.8,0.3,44.6,56,1012.2
2015-03-12,20.3,0.0,27.7,59,1015.6
2015-03-13,20.3,0.0,21.7,58,1015.2
2015-03-14,22.0,0.0,22.9,57,1015.0
2015-03-15,23.3,0.0,21.7,52,1013.9
2015-03-16,23.5,2.2,26.7,57,1014.9
2015-03-17,26.1,0.3,20.9,54,1014.4
2015-03-18,27.0,0.0,24.5,51,1012.9
2015-03-19,27.4,0.0,18.4,50,1012.8
2015-03-20,28.1,0.0,21.7,44,1013.1
2015-03-21,28.9,0.0,28.1,36,1013.1
2015-03-22,27.1,0.0,28.9,43,1013.1
2015-03-23,22.5,3.3,27.5,76,1014.9
2015-03-24,21.9,0.0,17.7,78,1015.6
2015-03-25,21.9,0.0,18.0,71,1014.7
2015-03-26,24.2,0.0,26.8,58,1014.1
2015-03-27,24.4,0.0,21.7,65,1014.6
2015-03-28,24.3,0.0,19.6,74,1013.7
2015-03-29,24.2,0.0,22.2,69,1012.3
2015-03-30,24.6,0.0,17.5,64,1010.2
2015-03-31,28.1,0.0,21.2,39,1008.1
2015-04-01,28.8,0.0,18.9,50,1005.0
2015-04-02,25.5,0.0,32.0,55,1006.0
2015-04-03,23.9,0.0,31.4,56,1007.3
2015-04-04,23.5,0.0,25.9,57,1007.0
2015-04-05,26.8,0.0,19.8,41,1007.5
2015-04-06,26.0,0.0,19.9,64,1008.1
2015-04-07,25.9,0.0,19.8,68,1008.2
2015-04-08,26.5,0.0,15.1,65,1009.1
2015-04-09,27.5,0.0,20.9,59,1010.2
2015-04-10,27.8,0.0,20.5,55,1010.2
2015-04-11,30.0,0.0,20.4,40,1009.5
2015-04-12,31.1,0.0,23.4,33,1009.7
2015-04-13,29.4,0.0,28.6,46,1010.3
2015-04-14,26.4,0.0,22.8,64,1011.3
2015-04-15,26.8,0.0,17.6,61,1012.3
2015-04-16,29.0,0.0,21.8,41,1014.1
2015-04-17,29.6,0.0,23.7,40,1012.1
2015-04-18,29.0,0.0,29.6,54,1008.6
2015-04-19,26.8,0.0,32.1,52,1009.4
2015-04-20,25.8,0.0,25.2,57,1011.6
2015-04-21,25.3,0.0,21.1,61,1011.2
2015-04-22,25.8,0.0,20.2,56,1009.3
2015-04-23,28.4,0.0,20.2,41,1008.5
2015-04-24,30.3,0.0,23.0,38,1008.6
2015-04-25,28.0,0.0,24.7,56,1008.5
2015-04-26,27.5,0.0,22.7,63,1009.0
2015-04-27,27.8,0.0,20.5,66,1009.7
2015-04-28,27.5,0.0,20.5,65,1010.2
2015-04-29,28.9,0.0,21.1,52,1008.8
2015-04-30,28.7,0.0,23.8,53,1009.5
2015-05-01,28.1,0.0,19.0,49,1009.8
2015-05-02,29.1,0.0,17.8,34,1008.2
2015-05-03,31.1,0.0,24.0,25,1006.2
2015-05-04,32.2,0.0,29.5,27,1005.1
2015-05-05,32.3,0.0,22.4,38,1006.0
2015-05-06,33.0,0.2,19.5,42,1005.5
2015-05-07,33.9,0.0,23.1,36,1005.5
2015-05-08,34.8,0.0,22.5,33,1004.9
2015-05-09,34.3,0.0,22.7,35,1004.0
2015-05-10,33.4,0.0,28.3,36,1006.0
2015-05-11,33.0,0.0,16.6,35,1007.4
2015-05-12,32.2,0.0,23.7,47,1007.4
2015-05-13,32.9,0.0,26.0,46,1006.2
2015-05-14,33.0,0.0,24.6,45,1006.1
2015-05-15,32.1,0.0,18.6,57,1007.0
2015-05-16,33.3,0.0,24.0,55,1004.5
2015-05-17,33.4,0.0,31.6,48,1003.6
2015-05-18,31.4,0.0,32.5,46,1004.8
2015-05-19,29.9,0.0,19.1,62,1004.7
2015-05-20,29.7,0.0,21.1,61,1005.3
2015-05-21,30.7,0.0,22.4,52,1005.4
2015-05-22,32.3,0.0,21.2,35,1005.0
2015-05-23,33.4,0.0,22.7,31,1004.3
2015-05-24,33.7,0.0,29.0,39,1004.1
2015-05-25,33.7,0.0,29.0,45,1004.5
2015-05-26,33.8,0.0,24.1,44,1005.3
2015-05-27,34.3,0.0,39.6,38,1005.0
2015-05-28,32.8,0.0,37.4,47,1002.9
2015-05-29,32.3,0.0,14.5,50,1003.4
2015-05-30,34.8,0.0,22.0,36,1005.6
2015-05-31,35.2,0.0,23.5,33,1005.1
2015-06-01,34.5,0.0,23.9,46,1002.2
2015-06-02,36.7,0.0,16.6,41,1002.0
2015-06-03,36.7,0.0,28.2,41,1000.6
2015-06-04,36.6,0.4,31.3,43,1000.0
2015-06-05,35.6,0.0,25.8,51,1003.5
2015-06-06,35.1,0.0,26.0,40,1003.9
2015-06-07,34.4,0.0,19.1,43,1001.6
2015-06-08,33.4,0.0,20.2,60,999.9
2015-06-09,35.9,0.0,17.2,46,999.1
2015-06-10,35.9,0.0,24.2,47,998.2
2015-06-11,35.1,0.0,29.1,52,998.7
2015-06-12,35.1,0.0,27.0,52,999.4
2015-06-13,35.2,0.0,23.5,53,998.0
2015-06-14,34.4,0.0,24.7,56,997.7
2015-06-15,33.8,0.0,25.1,58,997.7
2015-06-16,33.5,0.0,20.8,63,996.9
2015-06-17,33.7,0.0,18.7,58,996.1
2015-06-18,34.3,0.0,18.8,62,996.8
2015-06-19,34.2,0.0,25.9,56,996.4
2015-06-20,34.7,0.0,23.1,54,995.1
2015-06-21,34.3,0.0,23.4,57,995.0
2015-06-22,34.7,0.0,23.0,58,995.0
2015-06-23,33.8,0.0,27.3,55,996.2
2015-06-24,33.9,0.0,35.6,50,998.0
2015-06-25,34.0,0.0,34.6,46,997.6
2015-06-26,34.9,0.0,30.9,41,997.7
