DATE,TG,RR,WS,HU,PP
2015-01-01,-1.3,5.8,20.5,91,983.6
2015-01-02,-1.9,2.1,21.0,84,996.2
2015-01-03,-1.7,1.1,17.4,78,1009.3
2015-01-04,2.4,24.6,51.2,90,993.9
2015-01-05,1.1,4.6,30.7,85,981.7
2015-01-06,1.0,10.8,46.8,86,981.0
2015-01-07,2.5,20.4,41.0,87,951.2
2015-01-08,0.0,2.1,38.5,76,970.9
2015-01-09,-2.1,0.5,20.1,78,976.3
2015-01-10,-4.0,0.4,13.4,84,977.1
2015-01-11,-6.5,1.7,22.6,77,978.6
2015-01-12,-4.1,0.0,16.4,75,965.3
2015-01-13,-0.4,0.3,26.1,69,973.1
2015-01-14,-4.8,0.0,18.3,70,984.9
2015-01-15,-6.5,0.0,21.1,77,993.4
2015-01-16,-3.3,0.0,20.8,74,995.2
2015-01-17,-4.5,0.2,19.1,85,1012.2
2015-01-18,-8.4,0.0,39.2,78,1022.9
2015-01-19,2.6,13.2,45.6,87,989.8
2015-01-20,0.6,4.7,24.8,92,984.2
2015-01-21,1.2,5.7,33.4,93,1001.5
2015-01-22,2.0,10.4,32.9,91,990.3
2015-01-23,-1.1,2.7,29.6,76,983.8
2015-01-24,0.1,15.2,42.1,81,993.2
2015-01-25,2.1,5.8,46.6,81,977.4
2015-01-26,1.9,9.5,39.0,83,996.0
2015-01-27,1.5,4.6,28.3,86,986.7
2015-01-28,-4.1,0.2,12.4,89,977.9
2015-01-29,-2.6,0.0,23.1,80,996.6
2015-01-30,-5.9,0.0,15.6,81,1008.9
2015-01-31,-6.5,1.0,14.5,84,1015.1
2015-02-01,-1.8,5.4,17.1,94,1006.4
2015-02-02,-4.4,0.0,22.8,81,1020.1
2015-02-03,-7.9,0.6,27.8,77,1023.2
2015-02-04,3.3,2.9,28.6,83,1015.4
2015-02-05,4.6,0.5,25.5,89,1018.4
2015-02-06,2.8,6.1,42.5,79,1015.8
2015-02-07,3.7,1.3,34.2,87,1029.1
2015-02-08,6.1,10.2,37.9,96,1013.5
2015-02-09,3.1,9.2,34.5,86,1000.6
2015-02-10,-1.4,0.8,38.4,65,996.5
2015-02-11,-3.4,0.1,25.0,61,1005.3
2015-02-12,-5.8,0.0,18.8,62,1010.2
2015-02-13,-4.9,0.0,12.7,59,1004.1
2015-02-14,3.0,35.5,39.3,93,977.9
2015-02-15,1.7,5.6,28.2,94,968.7
2015-02-16,-2.9,1.5,36.0,69,980.8
2015-02-17,-2.0,6.4,36.8,77,994.0
2015-02-18,3.2,16.0,37.5,89,975.4
2015-02-19,0.0,3.4,23.0,92,978.7
2015-02-20,-3.7,0.1,18.1,79,997.5
2015-02-21,-7.1,0.5,26.5,67,1003.1
2015-02-22,-3.1,5.0,37.4,64,972.6
2015-02-23,-4.1,0.0,27.1,65,979.6
2015-02-24,-2.8,0.0,20.3,74,990.1
2015-02-25,0.2,16.5,46.9,83,973.9
2015-02-26,-1.7,0.2,36.2,82,961.9
2015-02-27,-3.2,0.0,34.1,75,984.3
2015-02-28,-2.9,0.0,19.0,76,978.1
2015-03-01,-4.2,0.8,17.3,72,977.4
2015-03-02,-4.2,0.2,19.4,71,979.7
2015-03-03,-3.4,0.6,15.4,72,995.9
2015-03-04,0.2,15.6,44.9,85,996.4
2015-03-05,1.5,3.2,35.4,79,989.2
2015-03-06,1.4,16.7,42.6,88,969.7
2015-03-07,-0.0,2.4,24.7,83,968.7
2015-03-08,-0.7,2.7,30.5,73,983.7
2015-03-09,-1.7,0.7,18.3,78,995.7
2015-03-10,-1.1,12.0,51.8,81,993.7
2015-03-11,-1.2,3.5,30.5,75,991.4
2015-03-12,0.6,11.4,30.1,89,987.4
2015-03-13,3.1,11.6,50.4,80,997.0
2015-03-14,5.0,19.0,63.8,88,995.8
2015-03-15,2.3,13.3,39.1,90,1010.1
2015-03-16,3.5,6.8,53.9,83,1006.2
2015-03-17,0.2,0.4,13.7,78,1024.3
2015-03-18,-0.7,10.0,34.8,85,1020.3
2015-03-19,4.4,8.6,32.4,95,1014.5
2015-03-20,2.4,4.1,40.5,93,1025.2
2015-03-21,4.8,12.0,40.1,91,1011.6
2015-03-22,2.6,5.0,23.7,88,1000.9
2015-03-23,-1.4,0.0,22.8,77,1006.4
2015-03-24,-0.3,1.2,37.3,73,1014.2
2015-03-25,1.6,23.3,38.7,91,991.4
2015-03-26,-0.0,2.2,23.3,79,992.9
2015-03-27,-0.3,3.5,31.3,80,988.4
2015-03-28,-1.0,1.6,23.5,77,985.4
2015-03-29,-1.2,6.9,17.6,85,978.2
2015-03-30,-5.2,0.0,13.4,78,985.7
2015-03-31,-7.0,0.0,10.2,72,998.4
2015-04-01,-5.7,0.0,19.6,66,1019.0
2015-04-02,-2.9,3.5,31.2,75,1014.8
2015-04-03,3.6,10.3,32.7,92,1005.9
2015-04-04,5.2,4.1,29.8,94,1006.1
2015-04-05,6.5,7.6,29.3,94,1006.5
2015-04-06,4.5,5.5,31.2,89,1004.7
2015-04-07,2.2,3.9,38.5,76,1013.0
2015-04-08,1.0,3.5,24.0,75,1010.2
2015-04-09,-0.2,2.0,14.3,78,1003.3
2015-04-10,-1.5,2.1,30.9,74,994.6
