DATE,TG,RR,WS,HU,PP
2015-01-01,7.8,1.4,34.3,91,1027.4
2015-01-02,7.5,0.2,33.4,78,1028.7
2015-01-03,3.9,11.4,18.4,92,1023.9
2015-01-04,2.2,0.0,9.9,92,1035.0
2015-01-05,6.4,0.0,14.3,93,1029.0
2015-01-06,6.1,0.2,23.2,88,1021.2
2015-01-07,5.4,0.0,30.5,85,1023.5
2015-01-08,8.2,13.0,29.0,87,1020.8
2015-01-09,11.0,0.3,38.3,82,1017.8
2015-01-10,9.0,0.5,40.4,71,1014.5
2015-01-11,5.3,0.0,27.3,71,1021.8
2015-01-12,9.6,3.0,35.9,81,1010.4
2015-01-13,7.2,7.7,31.7,84,1002.3
2015-01-14,4.3,2.3,39.9,77,1004.1
2015-01-15,7.3,10.3,45.9,73,990.7
2015-01-16,3.6,0.0,28.7,77,1004.2
2015-01-17,0.8,0.7,17.9,87,1012.6
2015-01-18,1.0,2.9,14.4,92,1012.0
2015-01-19,0.6,0.0,13.0,88,1014.0
2015-01-20,0.3,0.4,19.0,92,1010.0
2015-01-21,2.4,0.4,22.1,90,1007.7
2015-01-22,1.0,0.0,12.2,87,1020.1
2015-01-23,1.0,1.8,23.8,87,1024.3
2015-01-24,3.8,4.1,24.9,84,1025.4
2015-01-25,3.2,0.0,19.6,88,1029.8
2015-01-26,6.7,0.1,19.8,84,1023.9
2015-01-27,4.7,0.0,15.9,85,1026.2
2015-01-28,5.6,1.1,37.9,76,1005.8
2015-01-29,1.9,1.6,27.4,81,985.5
2015-01-30,1.8,0.9,22.0,85,978.9
2015-01-31,1.4,2.0,28.9,82,984.8
2015-02-01,1.9,0.4,31.4,68,999.2
2015-02-02,-1.2,0.0,13.3,76,1005.7
2015-02-03,0.8,1.6,20.8,86,1007.9
2015-02-04,1.4,0.0,21.3,86,1019.5
2015-02-05,1.4,1.1,19.5,82,1025.7
2015-02-06,1.6,0.0,29.8,70,1030.7
2015-02-07,2.9,0.0,18.2,84,1035.9
2015-02-08,3.3,0.0,19.1,86,1038.0
2015-02-09,3.5,0.0,14.3,91,1034.4
