DATE,TG,RR,WS,HU,PP
2015-01-01,25.1,6.3,13.7,87,1011.7
2015-01-02,25.9,0.4,23.3,77,1011.9
2015-01-03,26.2,0.0,18.8,79,1010.7
2015-01-04,26.2,0.6,16.8,79,1009.9
2015-01-05,26.3,1.1,13.8,82,1009.3
2015-01-06,25.8,12.3,13.8,87,1009.2
2015-01-07,25.9,17.6,12.6,85,1010.0
2015-01-08,24.8,87.4,12.4,90,1011.5
2015-01-09,24.4,34.0,13.2,91,1012.1
2015-01-10,25.6,4.7,17.2,86,1010.8
2015-01-11,25.6,14.2,14.6,86,1010.9
2015-01-12,26.3,0.0,20.0,81,1010.6
2015-01-13,26.4,0.4,21.5,81,1011.1
2015-01-14,25.9,1.5,18.8,85,1012.5
2015-01-15,25.9,0.2,21.0,81,1012.2
2015-01-16,25.9,0.0,20.9,77,1012.1
2015-01-17,25.9,0.0,18.8,74,1012.1
2015-01-18,25.9,0.1,20.3,77,1012.3
2015-01-19,25.8,0.0,18.7,77,1012.8
2015-01-20,26.0,0.0,19.4,76,1014.2
2015-01-21,25.6,7.9,16.3,82,1015.1
2015-01-22,25.8,0.0,20.3,78,1014.0
2015-01-23,25.6,0.6,20.3,79,1012.4
2015-01-24,25.7,1.4,16.4,77,1013.0
2015-01-25,25.3,4.0,14.0,82,1013.4
2015-01-26,25.9,0.0,20.1,77,1011.9
2015-01-27,26.2,0.0,17.2,76,1010.9
2015-01-28,26.5,0.1,14.3,75,1010.3
2015-01-29,25.9,0.6,15.7,83,1011.4
2015-01-30,25.8,10.5,14.5,85,1012.3
2015-01-31,25.9,0.0,22.4,77,1012.5
2015-02-01,25.7,0.0,22.2,73,1012.7
2015-02-02,25.5,3.5,18.9,80,1013.6
2015-02-03,24.7,39.4,19.3,82,1014.2
2015-02-04,24.5,42.7,16.6,89,1013.2
2015-02-05,25.2,4.2,21.4,85,1012.5
2015-02-06,25.0,8.1,16.2,87,1012.9
2015-02-07,25.3,1.8,19.7,82,1012.5
2015-02-08,25.6,1.0,21.4,79,1012.4
2015-02-09,25.5,0.4,22.7,78,1012.9
2015-02-10,25.4,0.0,24.0,74,1012.5
2015-02-11,25.3,0.0,19.5,75,1012.0
2015-02-12,25.4,0.2,19.1,76,1011.1
2015-02-13,25.6,0.1,19.9,76,1011.1
2015-02-14,25.7,0.3,16.1,78,1010.8
2015-02-15,26.0,1.0,14.0,78,1010.8
2015-02-16,26.4,0.5,15.1,80,1010.6
2015-02-17,26.3,0.4,16.3,82,1010.2
2015-02-18,26.2,10.8,17.4,82,1011.2
2015-02-19,25.4,8.7,13.8,87,1012.2
2015-02-20,26.2,0.0,13.8,81,1011.7
2015-02-21,26.2,0.1,15.3,80,1011.0
2015-02-22,26.7,0.5,16.1,77,1011.3
2015-02-23,26.7,0.8,14.1,78,1011.6
2015-02-24,26.5,0.7,15.9,80,1010.6
2015-02-25,26.5,1.0,13.6,81,1009.9
2015-02-26,26.6,0.7,11.2,80,1009.7
2015-02-27,27.0,0.3,14.1,77,1009.5
2015-02-28,27.1,0.1,15.2,80,1010.1
2015-03-01,26.5,3.1,13.2,83,1010.8
2015-03-02,26.4,0.6,15.3,80,1011.2
2015-03-03,26.8,1.4,12.0,81,1010.0
2015-03-04,27.1,0.0,10.7,79,1010.9
2015-03-05,27.0,0.5,10.5,77,1011.3
2015-03-06,27.1,0.0,9.6,76,1010.9
2015-03-07,27.1,6.2,12.4,78,1010.9
2015-03-08,26.7,7.9,12.5,83,1011.7
2015-03-09,26.7,6.9,14.0,83,1012.5
2015-03-10,26.3,7.9,15.7,84,1012.1
2015-03-11,25.6,9.2,13.2,86,1013.1
2015-03-12,26.3,1.0,14.4,78,1012.6
2015-03-13,26.8,0.0,15.6,72,1012.8
2015-03-14,27.1,0.6,15.8,76,1013.3
2015-03-15,26.7,4.8,14.1,81,1013.8
2015-03-16,27.0,0.5,10.0,79,1012.5
2015-03-17,27.2,1.6,11.6,80,1010.5
2015-03-18,27.3,1.7,11.8,81,1010.0
2015-03-19,26.6,2.1,10.0,85,1010.7
2015-03-20,26.9,3.5,6.0,84,1011.4
2015-03-21,26.8,9.2,9.2,83,1012.0
2015-03-22,26.5,24.0,6.3,84,1011.6
2015-03-23,27.2,2.1,10.2,78,1010.6
2015-03-24,27.1,6.3,11.7,78,1010.9
2015-03-25,26.9,4.6,13.0,82,1011.7
2015-03-26,27.0,4.5,13.7,83,1012.5
2015-03-27,27.0,3.1,17.1,83,1011.7
2015-03-28,26.5,2.2,16.0,85,1010.5
